2010-03-02,3
2010-03-04,13
2010-03-08,21
2010-03-19,22
2010-03-27,3
2010-03-27,4
2010-03-27,5
2010-03-27,7
2010-03-27,8
2010-03-27,9
2010-03-27,10
2010-03-27,11
2010-03-27,13
2010-03-27,14
2010-03-27,15
2010-03-27,16
2010-03-27,17
2010-03-27,19
2010-03-27,20
2010-03-27,21
2010-03-27,22
2010-03-27,23
2010-03-28,0
2010-03-28,1
2010-03-28,2
2010-03-28,3
2010-03-28,4
2010-03-28,5
2010-03-28,7
2010-03-28,8
2010-03-28,9
2010-03-28,10
2010-03-28,11
2010-03-28,13
2010-03-28,14
2010-03-28,15
2010-03-28,16
2010-03-28,17
2010-03-28,19
2010-03-28,20
2010-03-28,21
2010-03-28,22
2010-03-28,23
2010-03-29,0
2010-03-29,1
2010-03-29,2
2010-03-29,3
2010-03-29,4
2010-03-29,5
2010-03-29,7
2010-03-29,8
2010-03-29,9
2010-03-29,10
2010-03-29,11
2010-03-29,13
2010-03-29,14
2010-03-29,15
2010-03-29,16
2010-03-29,17
2010-03-29,19
2010-03-29,20
2010-03-29,21
2010-03-29,22
2010-03-29,23
2010-03-30,0
2010-03-30,1
2010-03-30,2
2010-03-30,3
2010-03-30,4
2010-03-30,5
2010-03-30,7
2010-03-30,8
2010-03-30,9
2010-03-30,10
2010-03-30,11
2010-03-30,13
2010-03-30,22
2010-03-30,23
2010-04-19,16
2010-05-02,16
2010-05-02,17
2010-05-02,19
2010-05-12,4
2010-05-12,5
2010-06-02,11
2010-06-02,19
2010-06-02,20
2010-06-09,16
2010-06-20,13
2010-06-23,16
2010-06-26,1
2010-06-26,5
2010-06-26,22
2010-06-26,23
2010-06-27,5
2010-06-27,10
2010-06-27,16
2010-06-27,17
2010-06-27,20
2010-06-27,22
2010-06-28,4
2010-06-28,7
2010-07-06,14
2010-07-10,14
2010-07-12,7
2010-07-12,16
2010-07-13,13
2010-07-13,14
2010-07-13,15
2010-07-13,16
2010-07-13,17
2010-07-13,19
2010-07-13,20
2010-07-13,21
2010-07-13,22
2010-07-13,23
2010-07-14,0
2010-07-14,1
2010-07-14,2
2010-07-14,3
2010-07-14,4
2010-07-14,5
2010-07-14,7
2010-07-14,16
2010-07-15,2
2010-07-15,4
2010-07-15,7
2010-07-15,17
2010-07-16,22
2010-07-16,23
2010-07-17,0
2010-07-17,1
2010-07-17,2
2010-07-17,3
2010-07-17,4
2010-07-17,5
2010-07-17,7
2010-07-17,8
2010-07-17,9
2010-07-17,10
2010-07-17,11
2010-07-17,13
2010-07-17,14
2010-07-17,15
2010-07-17,16
2010-07-17,17
2010-07-17,19
2010-07-17,20
2010-07-17,21
2010-07-17,22
2010-07-17,23
2010-07-18,0
2010-07-18,1
2010-07-18,2
2010-07-18,3
2010-07-18,4
2010-07-18,5
2010-07-18,7
2010-07-18,8
2010-07-18,9
